InvoiceID,Year,Month,Quarter,MonthName,ProductCategory,Quantity,IsSeasonal,MonthlyRevenue
INV-00020,2019,1,Q1,Jan,Roofing Sheets,1,1,337921
INV-00020,2019,1,Q1,Jan,Doors,1,1,337921
INV-00020,2019,1,Q1,Jan,Interlock,1,0,337921
INV-00020,2019,1,Q1,Jan,Loover,1,1,337921
INV-00041,2019,1,Q1,Jan,Interlock,1,0,337921
INV-00041,2019,1,Q1,Jan,Tables and Benches,1,0,337921
INV-00041,2019,1,Q1,Jan,Garden Animal Moulds,1,0,337921
INV-00019,2019,1,Q1,Jan,Tables and Benches,1,0,337921
INV-00019,2019,1,Q1,Jan,Flower Pots,8,0,337921
INV-00028,2019,1,Q1,Jan,Flower Pots,2,0,337921
INV-00028,2019,1,Q1,Jan,Tables and Benches,1,0,337921
INV-00037,2019,1,Q1,Jan,Interlock,1,0,337921
INV-00037,2019,1,Q1,Jan,Doors,1,1,337921
INV-00026,2019,1,Q1,Jan,Kanu Moulds,3,0,337921
INV-00026,2019,1,Q1,Jan,Beeralu Moulds,2,0,337921
INV-00027,2019,1,Q1,Jan,Kalugal Moulds,1,1,337921
INV-00008,2019,1,Q1,Jan,Kalugal Moulds,1,1,337921
INV-00008,2019,1,Q1,Jan,Silparan Kota,1,1,337921
INV-00008,2019,1,Q1,Jan,Molding Pati,1,1,337921
INV-00013,2019,1,Q1,Jan,Flower Pots,1,0,337921
INV-00032,2019,1,Q1,Jan,Tables and Benches,1,0,337921
INV-00032,2019,1,Q1,Jan,Flower Pots,8,0,337921
INV-00032,2019,1,Q1,Jan,Garden Animal Moulds,1,0,337921
INV-00010,2019,1,Q1,Jan,Temple Items,1,1,337921
INV-00010,2019,1,Q1,Jan,Flower Pots,10,0,337921
INV-00010,2019,1,Q1,Jan,Garden Animal Moulds,1,0,337921
INV-00023,2019,1,Q1,Jan,Slab Moulds,2,1,337921
INV-00036,2019,1,Q1,Jan,Slab Moulds,1,1,337921
INV-00036,2019,1,Q1,Jan,Beeralu Moulds,1,0,337921
INV-00036,2019,1,Q1,Jan,Molding Pati,1,1,337921
INV-00038,2019,1,Q1,Jan,Bathik Tanks,1,1,337921
INV-00044,2019,2,Q1,Feb,Interlock,1,1,607515
INV-00079,2019,2,Q1,Feb,Flower Pots,1,0,607515
INV-00079,2019,2,Q1,Feb,Garden Animal Moulds,1,0,607515
INV-00079,2019,2,Q1,Feb,Temple Items,1,0,607515
INV-00065,2019,2,Q1,Feb,Temple Items,1,0,607515
INV-00065,2019,2,Q1,Feb,Garden Animal Moulds,1,0,607515
INV-00056,2019,2,Q1,Feb,Beeralu Moulds,1,1,607515
INV-00056,2019,2,Q1,Feb,Kalugal Moulds,1,1,607515
INV-00085,2019,2,Q1,Feb,Interlock,1,1,607515
INV-00085,2019,2,Q1,Feb,Garden Animal Moulds,3,0,607515
INV-00059,2019,2,Q1,Feb,Beeralu Moulds,2,1,607515
INV-00059,2019,2,Q1,Feb,Slab Moulds,2,1,607515
INV-00059,2019,2,Q1,Feb,Garden Animal Moulds,3,0,607515
INV-00069,2019,2,Q1,Feb,Interlock,1,1,607515
INV-00069,2019,2,Q1,Feb,Tables and Benches,1,0,607515
INV-00058,2019,2,Q1,Feb,Interlock,1,1,607515
INV-00058,2019,2,Q1,Feb,Roofing Sheets,1,1,607515
INV-00072,2019,2,Q1,Feb,Kalugal Moulds,1,1,607515
INV-00064,2019,2,Q1,Feb,Interlock,2,1,607515
INV-00075,2019,2,Q1,Feb,Garden Animal Moulds,2,0,607515
INV-00077,2019,2,Q1,Feb,Loover,1,1,607515
INV-00077,2019,2,Q1,Feb,Interlock,1,1,607515
INV-00061,2019,2,Q1,Feb,Kanu Moulds,1,1,607515
INV-00062,2019,2,Q1,Feb,Garden Animal Moulds,1,0,607515
INV-00062,2019,2,Q1,Feb,Flower Pots,20,0,607515
INV-00062,2019,2,Q1,Feb,Tables and Benches,1,0,607515
INV-00062,2019,2,Q1,Feb,Interlock,16,1,607515
INV-00047,2019,2,Q1,Feb,Bathik Tanks,2,1,607515
INV-00047,2019,2,Q1,Feb,Chemical Proof Tanks,1,1,607515
INV-00046,2019,2,Q1,Feb,Chemical Proof Tanks,1,1,607515
INV-00046,2019,2,Q1,Feb,Bathik Tanks,1,1,607515
INV-00053,2019,2,Q1,Feb,Chemical Proof Tanks,1,1,607515
INV-00081,2019,2,Q1,Feb,Roofing Sheets,1,1,607515
INV-00081,2019,2,Q1,Feb,Loover,1,1,607515
INV-00084,2019,2,Q1,Feb,Interlock,1,1,607515
INV-00084,2019,2,Q1,Feb,Doors,1,1,607515
INV-00048,2019,2,Q1,Feb,Silparan Kota,25,1,607515
INV-00048,2019,2,Q1,Feb,Kalugal Moulds,4,1,607515
INV-00055,2019,2,Q1,Feb,Garden Animal Moulds,1,0,607515
INV-00055,2019,2,Q1,Feb,Interlock,1,1,607515
INV-00060,2019,2,Q1,Feb,Tables and Benches,1,0,607515
INV-00060,2019,2,Q1,Feb,Garden Animal Moulds,1,0,607515
INV-00074,2019,2,Q1,Feb,Slab Moulds,1,1,607515
INV-00080,2019,2,Q1,Feb,Kanu Moulds,1,1,607515
INV-00051,2019,2,Q1,Feb,Molding Pati,1,1,607515
INV-00067,2019,2,Q1,Feb,Slab Moulds,1,1,607515
INV-00071,2019,2,Q1,Feb,Flower Pots,10,0,607515
INV-00071,2019,2,Q1,Feb,Interlock,1,1,607515
INV-00071,2019,2,Q1,Feb,Garden Animal Moulds,1,0,607515
INV-00076,2019,2,Q1,Feb,Silparan Kota,2,1,607515
INV-00083,2019,2,Q1,Feb,Doors,1,1,607515
INV-00070,2019,2,Q1,Feb,Chemical Proof Tanks,1,1,607515
INV-00070,2019,2,Q1,Feb,Bathik Tanks,1,1,607515
INV-00070,2019,2,Q1,Feb,Water Proof Tanks,1,1,607515
INV-00045,2019,2,Q1,Feb,Kalugal Moulds,1,1,607515
INV-00045,2019,2,Q1,Feb,Beeralu Moulds,2,1,607515
INV-00045,2019,2,Q1,Feb,Silparan Kota,1,1,607515
INV-00045,2019,2,Q1,Feb,Slab Moulds,1,1,607515
INV-00052,2019,2,Q1,Feb,Interlock,1,1,607515
INV-00078,2019,2,Q1,Feb,Slab Moulds,1,1,607515
INV-00068,2019,2,Q1,Feb,Kanu Moulds,5,1,607515
INV-00068,2019,2,Q1,Feb,Slab Moulds,2,1,607515
INV-00073,2019,2,Q1,Feb,Interlock,1,1,607515
INV-00073,2019,2,Q1,Feb,Garden Animal Moulds,1,0,607515
INV-00073,2019,2,Q1,Feb,Flower Pots,1,0,607515
INV-00050,2019,2,Q1,Feb,Bathik Tanks,1,1,607515
INV-00050,2019,2,Q1,Feb,Chemical Proof Tanks,1,1,607515
INV-00054,2019,2,Q1,Feb,Slab Moulds,1,1,607515
INV-00054,2019,2,Q1,Feb,Silparan Kota,2,1,607515
INV-00054,2019,2,Q1,Feb,Kalugal Moulds,1,1,607515
INV-00082,2019,2,Q1,Feb,Chemical Proof Tanks,1,1,607515
INV-00082,2019,2,Q1,Feb,Water Proof Tanks,1,1,607515
INV-00082,2019,2,Q1,Feb,Bathik Tanks,1,1,607515
INV-00082,2019,2,Q1,Feb,Slab Moulds,1,1,607515
INV-00063,2019,2,Q1,Feb,Molding Pati,1,1,607515
INV-00063,2019,2,Q1,Feb,Slab Moulds,1,1,607515
INV-00057,2019,2,Q1,Feb,Garden Animal Moulds,1,0,607515
INV-00057,2019,2,Q1,Feb,Interlock,1,1,607515
INV-00057,2019,2,Q1,Feb,Tables and Benches,1,0,607515
INV-00066,2019,2,Q1,Feb,Silparan Kota,5,1,607515
INV-00066,2019,2,Q1,Feb,Kalugal Moulds,4,1,607515
INV-00066,2019,2,Q1,Feb,Kanu Moulds,10,1,607515
INV-00066,2019,2,Q1,Feb,Slab Moulds,2,1,607515
INV-00049,2019,2,Q1,Feb,Bathik Tanks,1,1,607515
INV-00101,2019,3,Q1,Mar,Interlock,1,1,273158
INV-00101,2019,3,Q1,Mar,Doors,1,1,273158
INV-00108,2019,3,Q1,Mar,Beeralu Moulds,1,1,273158
INV-00097,2019,3,Q1,Mar,Loover,1,1,273158
INV-00097,2019,3,Q1,Mar,Doors,1,1,273158
INV-00097,2019,3,Q1,Mar,Roofing Sheets,1,1,273158
INV-00111,2019,3,Q1,Mar,Kanu Moulds,1,1,273158
INV-00111,2019,3,Q1,Mar,Kalugal Moulds,1,1,273158
INV-00090,2019,3,Q1,Mar,Doors,1,1,273158
INV-00095,2019,3,Q1,Mar,Flower Pots,2,1,273158
INV-00095,2019,3,Q1,Mar,Temple Items,1,0,273158
INV-00095,2019,3,Q1,Mar,Garden Animal Moulds,1,1,273158
INV-00092,2019,3,Q1,Mar,Kalugal Moulds,1,1,273158
INV-00092,2019,3,Q1,Mar,Kanu Moulds,3,1,273158
INV-00110,2019,3,Q1,Mar,Slab Moulds,1,1,273158
INV-00110,2019,3,Q1,Mar,Molding Pati,2,1,273158
INV-00110,2019,3,Q1,Mar,Silparan Kota,13,1,273158
INV-00110,2019,3,Q1,Mar,Flower Pots,8,1,273158
INV-00106,2019,3,Q1,Mar,Flower Pots,5,1,273158
INV-00106,2019,3,Q1,Mar,Temple Items,1,0,273158
INV-00098,2019,3,Q1,Mar,Silparan Kota,1,1,273158
INV-00113,2019,3,Q1,Mar,Silparan Kota,1,1,273158
INV-00113,2019,3,Q1,Mar,Kalugal Moulds,1,1,273158
INV-00086,2019,3,Q1,Mar,Kanu Moulds,1,1,273158
INV-00086,2019,3,Q1,Mar,Silparan Kota,4,1,273158
INV-00086,2019,3,Q1,Mar,Molding Pati,2,1,273158
INV-00103,2019,3,Q1,Mar,Beeralu Moulds,20,1,273158
INV-00103,2019,3,Q1,Mar,Slab Moulds,1,1,273158
INV-00103,2019,3,Q1,Mar,Kanu Moulds,10,1,273158
INV-00099,2019,3,Q1,Mar,Interlock,2,1,273158
INV-00099,2019,3,Q1,Mar,Doors,1,1,273158
INV-00099,2019,3,Q1,Mar,Loover,1,1,273158
INV-00099,2019,3,Q1,Mar,Roofing Sheets,1,1,273158
INV-00105,2019,3,Q1,Mar,Bathik Tanks,1,1,273158
INV-00109,2019,3,Q1,Mar,Loover,1,1,273158
INV-00109,2019,3,Q1,Mar,Doors,1,1,273158
INV-00109,2019,3,Q1,Mar,Interlock,2,1,273158
INV-00091,2019,3,Q1,Mar,Kalugal Moulds,1,1,273158
INV-00096,2019,3,Q1,Mar,Chemical Proof Tanks,1,1,273158
INV-00096,2019,3,Q1,Mar,Bathik Tanks,1,1,273158
INV-00107,2019,3,Q1,Mar,Interlock,1,1,273158
INV-00107,2019,3,Q1,Mar,Roofing Sheets,1,1,273158
INV-00107,2019,3,Q1,Mar,Doors,1,1,273158
INV-00112,2019,3,Q1,Mar,Silparan Kota,1,1,273158
INV-00112,2019,3,Q1,Mar,Kalugal Moulds,1,1,273158
INV-00112,2019,3,Q1,Mar,Slab Moulds,1,1,273158
INV-00112,2019,3,Q1,Mar,Molding Pati,1,1,273158
INV-00088,2019,3,Q1,Mar,Silparan Kota,1,1,273158
INV-00087,2019,3,Q1,Mar,Molding Pati,8,1,273158
INV-00089,2019,3,Q1,Mar,Kalugal Moulds,1,1,273158
INV-00089,2019,3,Q1,Mar,Silparan Kota,11,1,273158
INV-00089,2019,3,Q1,Mar,Beeralu Moulds,1,1,273158
INV-00094,2019,3,Q1,Mar,Loover,2,1,273158
INV-00094,2019,3,Q1,Mar,Doors,1,1,273158
INV-00102,2019,3,Q1,Mar,Tables and Benches,1,1,273158
INV-00102,2019,3,Q1,Mar,Interlock,1,1,273158
INV-00102,2019,3,Q1,Mar,Garden Animal Moulds,1,1,273158
INV-00104,2019,3,Q1,Mar,Roofing Sheets,1,1,273158
INV-00104,2019,3,Q1,Mar,Loover,1,1,273158
INV-00104,2019,3,Q1,Mar,Doors,1,1,273158
INV-00093,2019,3,Q1,Mar,Chemical Proof Tanks,1,1,273158
INV-00100,2019,3,Q1,Mar,Loover,1,1,273158
INV-00114,2019,3,Q1,Mar,Beeralu Moulds,1,1,273158
INV-00122,2019,4,Q2,Apr,Roofing Sheets,1,1,392600
INV-00115,2019,4,Q2,Apr,Kalugal Moulds,1,1,392600
INV-00115,2019,4,Q2,Apr,Kanu Moulds,1,1,392600
INV-00140,2019,4,Q2,Apr,Interlock,1,1,392600
INV-00140,2019,4,Q2,Apr,Doors,1,1,392600
INV-00140,2019,4,Q2,Apr,Roofing Sheets,1,1,392600
INV-00146,2019,4,Q2,Apr,Kanu Moulds,1,1,392600
INV-00148,2019,4,Q2,Apr,Flower Pots,8,1,392600
INV-00148,2019,4,Q2,Apr,Interlock,1,1,392600
INV-00150,2019,4,Q2,Apr,Interlock,1,1,392600
INV-00144,2019,4,Q2,Apr,Molding Pati,9,1,392600
INV-00144,2019,4,Q2,Apr,Kanu Moulds,8,1,392600
INV-00134,2019,4,Q2,Apr,Molding Pati,1,1,392600
INV-00134,2019,4,Q2,Apr,Kalugal Moulds,1,1,392600
INV-00134,2019,4,Q2,Apr,Beeralu Moulds,1,1,392600
INV-00141,2019,4,Q2,Apr,Water Proof Tanks,1,1,392600
INV-00141,2019,4,Q2,Apr,Chemical Proof Tanks,1,1,392600
INV-00141,2019,4,Q2,Apr,Bathik Tanks,2,0,392600
INV-00127,2019,4,Q2,Apr,Interlock,1,1,392600
INV-00127,2019,4,Q2,Apr,Doors,1,1,392600
INV-00142,2019,4,Q2,Apr,Roofing Sheets,1,1,392600
INV-00142,2019,4,Q2,Apr,Interlock,1,1,392600
INV-00124,2019,4,Q2,Apr,Loover,1,0,392600
INV-00124,2019,4,Q2,Apr,Doors,1,1,392600
INV-00135,2019,4,Q2,Apr,Interlock,2,1,392600
INV-00119,2019,4,Q2,Apr,Garden Animal Moulds,1,1,392600
INV-00117,2019,4,Q2,Apr,Kalugal Moulds,1,1,392600
INV-00137,2019,4,Q2,Apr,Kalugal Moulds,1,1,392600
INV-00137,2019,4,Q2,Apr,Kanu Moulds,1,1,392600
INV-00147,2019,4,Q2,Apr,Temple Items,1,1,392600
INV-00147,2019,4,Q2,Apr,Garden Animal Moulds,1,1,392600
INV-00123,2019,4,Q2,Apr,Kanu Moulds,1,1,392600
INV-00123,2019,4,Q2,Apr,Kalugal Moulds,1,1,392600
INV-00120,2019,4,Q2,Apr,Beeralu Moulds,2,1,392600
INV-00120,2019,4,Q2,Apr,Silparan Kota,4,0,392600
INV-00139,2019,4,Q2,Apr,Roofing Sheets,1,1,392600
INV-00139,2019,4,Q2,Apr,Interlock,1,1,392600
INV-00139,2019,4,Q2,Apr,Doors,1,1,392600
INV-00116,2019,4,Q2,Apr,Garden Animal Moulds,1,1,392600
INV-00116,2019,4,Q2,Apr,Temple Items,2,1,392600
INV-00118,2019,4,Q2,Apr,Garden Animal Moulds,1,1,392600
INV-00130,2019,4,Q2,Apr,Bathik Tanks,1,0,392600
INV-00130,2019,4,Q2,Apr,Water Proof Tanks,1,1,392600
INV-00136,2019,4,Q2,Apr,Silparan Kota,13,0,392600
INV-00136,2019,4,Q2,Apr,Molding Pati,1,1,392600
INV-00136,2019,4,Q2,Apr,Kalugal Moulds,1,1,392600
INV-00136,2019,4,Q2,Apr,Roofing Sheets,1,1,392600
INV-00151,2019,4,Q2,Apr,Tables and Benches,1,1,392600
INV-00151,2019,4,Q2,Apr,Garden Animal Moulds,2,1,392600
INV-00128,2019,4,Q2,Apr,Flower Pots,18,1,392600
INV-00143,2019,4,Q2,Apr,Kalugal Moulds,1,1,392600
INV-00143,2019,4,Q2,Apr,Beeralu Moulds,1,1,392600
INV-00145,2019,4,Q2,Apr,Slab Moulds,1,1,392600
INV-00129,2019,4,Q2,Apr,Interlock,1,1,392600
INV-00129,2019,4,Q2,Apr,Roofing Sheets,1,1,392600
INV-00126,2019,4,Q2,Apr,Slab Moulds,1,1,392600
INV-00126,2019,4,Q2,Apr,Kalugal Moulds,1,1,392600
INV-00126,2019,4,Q2,Apr,Beeralu Moulds,1,1,392600
INV-00132,2019,4,Q2,Apr,Kalugal Moulds,1,1,392600
INV-00132,2019,4,Q2,Apr,Beeralu Moulds,1,1,392600
INV-00133,2019,4,Q2,Apr,Molding Pati,1,1,392600
INV-00133,2019,4,Q2,Apr,Slab Moulds,1,1,392600
INV-00121,2019,4,Q2,Apr,Beeralu Moulds,4,1,392600
INV-00121,2019,4,Q2,Apr,Kalugal Moulds,1,1,392600
INV-00121,2019,4,Q2,Apr,Slab Moulds,1,1,392600
INV-00121,2019,4,Q2,Apr,Kanu Moulds,1,1,392600
INV-00125,2019,4,Q2,Apr,Doors,1,1,392600
INV-00125,2019,4,Q2,Apr,Interlock,2,1,392600
INV-00125,2019,4,Q2,Apr,Roofing Sheets,2,1,392600
INV-00131,2019,4,Q2,Apr,Tables and Benches,1,1,392600
INV-00138,2019,4,Q2,Apr,Kalugal Moulds,1,1,392600
INV-00149,2019,4,Q2,Apr,Temple Items,4,1,392600
INV-00149,2019,4,Q2,Apr,Garden Animal Moulds,5,1,392600
INV-00161,2019,5,Q2,May,Water Proof Tanks,1,1,452002
INV-00161,2019,5,Q2,May,Chemical Proof Tanks,1,0,452002
INV-00161,2019,5,Q2,May,Bathik Tanks,1,0,452002
INV-00171,2019,5,Q2,May,Flower Pots,9,1,452002
INV-00171,2019,5,Q2,May,Temple Items,1,0,452002
INV-00171,2019,5,Q2,May,Garden Animal Moulds,4,1,452002
INV-00155,2019,5,Q2,May,Beeralu Moulds,2,0,452002
INV-00155,2019,5,Q2,May,Kalugal Moulds,4,1,452002
INV-00172,2019,5,Q2,May,Bathik Tanks,1,0,452002
INV-00172,2019,5,Q2,May,Chemical Proof Tanks,1,0,452002
INV-00172,2019,5,Q2,May,Water Proof Tanks,1,1,452002
INV-00166,2019,5,Q2,May,Kanu Moulds,1,1,452002
INV-00165,2019,5,Q2,May,Garden Animal Moulds,1,1,452002
INV-00160,2019,5,Q2,May,Molding Pati,6,0,452002
INV-00160,2019,5,Q2,May,Beeralu Moulds,1,0,452002
INV-00168,2019,5,Q2,May,Interlock,3,1,452002
INV-00168,2019,5,Q2,May,Roofing Sheets,1,0,452002
INV-00173,2019,5,Q2,May,Interlock,1,1,452002
INV-00164,2019,5,Q2,May,Doors,1,0,452002
INV-00164,2019,5,Q2,May,Interlock,2,1,452002
INV-00164,2019,5,Q2,May,Loover,1,0,452002
INV-00175,2019,5,Q2,May,Loover,1,0,452002
INV-00175,2019,5,Q2,May,Doors,1,0,452002
INV-00175,2019,5,Q2,May,Interlock,1,1,452002
INV-00169,2019,5,Q2,May,Silparan Kota,12,0,452002
INV-00169,2019,5,Q2,May,Beeralu Moulds,8,0,452002
INV-00169,2019,5,Q2,May,Molding Pati,2,0,452002
INV-00153,2019,5,Q2,May,Interlock,1,1,452002
INV-00153,2019,5,Q2,May,Loover,1,0,452002
INV-00153,2019,5,Q2,May,Doors,1,0,452002
INV-00174,2019,5,Q2,May,Interlock,1,1,452002
INV-00174,2019,5,Q2,May,Loover,1,0,452002
INV-00174,2019,5,Q2,May,Roofing Sheets,1,0,452002
INV-00176,2019,5,Q2,May,Temple Items,1,0,452002
INV-00176,2019,5,Q2,May,Flower Pots,4,1,452002
INV-00170,2019,5,Q2,May,Tables and Benches,1,1,452002
INV-00170,2019,5,Q2,May,Garden Animal Moulds,1,1,452002
INV-00170,2019,5,Q2,May,Flower Pots,13,1,452002
INV-00170,2019,5,Q2,May,Chemical Proof Tanks,1,0,452002
INV-00177,2019,5,Q2,May,Kalugal Moulds,1,1,452002
INV-00177,2019,5,Q2,May,Kanu Moulds,1,1,452002
INV-00178,2019,5,Q2,May,Interlock,1,1,452002
INV-00178,2019,5,Q2,May,Doors,1,0,452002
INV-00157,2019,5,Q2,May,Flower Pots,8,1,452002
INV-00157,2019,5,Q2,May,Garden Animal Moulds,1,1,452002
INV-00180,2019,5,Q2,May,Kalugal Moulds,1,1,452002
INV-00180,2019,5,Q2,May,Slab Moulds,1,1,452002
INV-00180,2019,5,Q2,May,Kanu Moulds,6,1,452002
INV-00152,2019,5,Q2,May,Kalugal Moulds,3,1,452002
INV-00152,2019,5,Q2,May,Kanu Moulds,1,1,452002
INV-00163,2019,5,Q2,May,Interlock,1,1,452002
INV-00163,2019,5,Q2,May,Roofing Sheets,1,0,452002
INV-00159,2019,5,Q2,May,Kanu Moulds,19,1,452002
INV-00159,2019,5,Q2,May,Slab Moulds,1,1,452002
INV-00162,2019,5,Q2,May,Interlock,1,1,452002
INV-00167,2019,5,Q2,May,Tables and Benches,5,1,452002
INV-00167,2019,5,Q2,May,Garden Animal Moulds,2,1,452002
INV-00167,2019,5,Q2,May,Interlock,4,1,452002
INV-00167,2019,5,Q2,May,Flower Pots,5,1,452002
INV-00156,2019,5,Q2,May,Slab Moulds,1,1,452002
INV-00154,2019,5,Q2,May,Interlock,1,1,452002
INV-00154,2019,5,Q2,May,Doors,1,0,452002
INV-00158,2019,5,Q2,May,Flower Pots,5,1,452002
INV-00158,2019,5,Q2,May,Interlock,1,1,452002
INV-00158,2019,5,Q2,May,Tables and Benches,1,1,452002
INV-00179,2019,5,Q2,May,Flower Pots,1,1,452002
INV-00179,2019,5,Q2,May,Garden Animal Moulds,2,1,452002
INV-00201,2019,6,Q2,Jun,Temple Items,1,0,339387
INV-00201,2019,6,Q2,Jun,Garden Animal Moulds,1,1,339387
INV-00207,2019,6,Q2,Jun,Water Proof Tanks,1,0,339387
INV-00207,2019,6,Q2,Jun,Bathik Tanks,1,0,339387
INV-00207,2019,6,Q2,Jun,Chemical Proof Tanks,1,0,339387
INV-00203,2019,6,Q2,Jun,Chemical Proof Tanks,1,0,339387
INV-00203,2019,6,Q2,Jun,Water Proof Tanks,1,0,339387
INV-00203,2019,6,Q2,Jun,Bathik Tanks,1,0,339387
INV-00212,2019,6,Q2,Jun,Kanu Moulds,1,0,339387
INV-00187,2019,6,Q2,Jun,Silparan Kota,1,0,339387
INV-00187,2019,6,Q2,Jun,Slab Moulds,1,0,339387
INV-00189,2019,6,Q2,Jun,Beeralu Moulds,3,0,339387
INV-00181,2019,6,Q2,Jun,Slab Moulds,1,0,339387
INV-00181,2019,6,Q2,Jun,Beeralu Moulds,1,0,339387
INV-00181,2019,6,Q2,Jun,Kanu Moulds,1,0,339387
INV-00200,2019,6,Q2,Jun,Interlock,1,1,339387
INV-00200,2019,6,Q2,Jun,Tables and Benches,1,0,339387
INV-00206,2019,6,Q2,Jun,Silparan Kota,4,0,339387
INV-00206,2019,6,Q2,Jun,Molding Pati,1,0,339387
INV-00206,2019,6,Q2,Jun,Kalugal Moulds,1,0,339387
INV-00185,2019,6,Q2,Jun,Garden Animal Moulds,1,1,339387
INV-00191,2019,6,Q2,Jun,Molding Pati,1,0,339387
INV-00197,2019,6,Q2,Jun,Chemical Proof Tanks,1,0,339387
INV-00197,2019,6,Q2,Jun,Bathik Tanks,1,0,339387
INV-00197,2019,6,Q2,Jun,Water Proof Tanks,1,0,339387
INV-00183,2019,6,Q2,Jun,Interlock,1,1,339387
INV-00183,2019,6,Q2,Jun,Garden Animal Moulds,1,1,339387
INV-00183,2019,6,Q2,Jun,Flower Pots,7,0,339387
INV-00193,2019,6,Q2,Jun,Chemical Proof Tanks,1,0,339387
INV-00193,2019,6,Q2,Jun,Bathik Tanks,1,0,339387
INV-00186,2019,6,Q2,Jun,Roofing Sheets,1,0,339387
INV-00188,2019,6,Q2,Jun,Beeralu Moulds,1,0,339387
INV-00188,2019,6,Q2,Jun,Silparan Kota,1,0,339387
INV-00188,2019,6,Q2,Jun,Molding Pati,1,0,339387
INV-00188,2019,6,Q2,Jun,Kanu Moulds,1,0,339387
INV-00190,2019,6,Q2,Jun,Molding Pati,1,0,339387
INV-00190,2019,6,Q2,Jun,Beeralu Moulds,2,0,339387
